slug,category,brand_name,url
1-2-3-4-go-records,Independent Record Store - US,1-2-3-4 Go! Records,https://1234gorecords.com
101-films,Movies & TV,101 Films,https://101-films.com
123inkjets,Printer & Ink,123inkjets,https://www.123inkjets.com
12x12-cardstock-shop,Specialty Paper & Cards,12x12 Cardstock Shop,https://www.12x12cardstock.shop
18-east,Outdoor Apparel,18 East,https://18east.co
4ad,Record Label with Shop,4AD,https://www.4ad.com
8bitdo,Controllers,8BitDo,https://www.8bitdo.com
a24-shop,Movies & TV,A24 Shop,https://shop.a24films.com
aarke,Kitchen Tools,Aarke,https://www.aarke.com
aarke-water-fi-2,Water Filtration/Dispensers,Aarke,https://www.aarke.com
abbio,Cookware,Abbio,https://abbiokitchen.com
abby-and-finn,Baby Care,Abby & Finn,https://abbyandfinn.com
abcam,Chemistry & Biology Supplies,Abcam,https://www.abcam.com
ac-direct,Cleanroom & HVAC Industrial,AC Direct,https://www.acdirect.com
accu-scope,Microscopy & Optics,Accu-Scope,https://www.accu-scope.com
acoustic-sounds,Audiophile/Hi-Res Label,Acoustic Sounds,https://acousticsounds.com
act-acre,Haircare,Act + Acre,https://actandacre.com
activist-skincare,Skincare,Activist Skincare,https://activistskincare.com
aemc-instruments,Measurement & Test Instruments,AEMC Instruments,https://www.aemc.com
aer,Cell Phones & Accessories,Aer,https://www.aersf.com
aer-laptop-b-2,Laptop Bags,Aer,https://www.aersf.com
aera,Candles & Scent,Aera,https://www.aeraforhome.com
aerogarden,Urban gardening,AeroGarden,https://www.aerogarden.com
aesop,Bath,Aesop,https://www.aesop.com
ag1,Vitamins & Supplements,AG1,https://ag1.com
aga,Ranges/Cooktops/Ovens,AGA,https://www.aga-ranges.com
agendio,Planners,Agendio,https://agendio.com
agfa-american-genre-film-archive,Movies & TV,AGFA (American Genre Film Archive),https://www.americangenrefilm.com
aimcontrollers,Controllers,AimControllers,https://aimcontrollers.com
akko,Keyboards,Akko,https://en.akkogear.com
alen,Air Purifiers,Alen,https://www.alen.com
alfa-forni,Pizza ovens,Alfa Forni,https://www.alfaforni.com
alibris,Used/Rare Bookseller,Alibris,https://www.alibris.com
alice-ever-after-books,Independent Bookstore,"Alice, Ever After Books",https://www.aliceeverafterbooks.com
alienware,Laptops,Alienware,https://www.alienware.com
all-the-anime,Movies & TV,All the Anime,https://www.alltheanime.com
all-clad,Small Kitchen Appliances,All-Clad,https://www.all-clad.com
allen-and-heath,DJ Gear,Allen & Heath,https://www.allen-heath.com
allied-cycle-works,Cycling,Allied Cycle Works,https://alliedcycleworks.com
alo-yoga,Yoga,Alo Yoga,https://www.aloyoga.com
alpine-home-air,Cleanroom & HVAC Industrial,Alpine Home Air,https://www.alpinehomeair.com
alto,Cell Phones & Accessories,Alto,https://www.viaalto.com
amiami,Import Shop,AmiAmi,https://www.amiami.com
amiami-movies-a-2,Movies & TV,AmiAmi,https://www.amiami.com
amigo-games,Card Games,Amigo Games,https://amigo.games
amika,Haircare,Amika,https://loveamika.com
amoeba-music,Movies & TV,Amoeba Music,https://www.amoeba.com
amvr,VR Hardware,AMVR,https://amvrshop.com
anamese,Planters/Pots,Anamese,https://www.anamese.com
andaseat,Gaming Chairs,AndaSeat,https://www.andaseat.com
anime-corner-store,Movies & TV,Anime Corner Store,https://www.animecornerstore.com
aniplex-usa,Movies & TV,Aniplex+ USA,https://p-bandai.com/us/search?sort=relevance&text=aniplex
anker,Cell Phones & Accessories,Anker,https://www.anker.com
anker-docking--2,Docking stations/hubs,Anker,https://www.anker.com
annabelle-s-book-club-la,Independent Bookstore,Annabelle's Book Club LA,https://www.annabellesbookclubla.com
anne-pro,Keyboards,Anne Pro,https://www.obins.net
anova-culinary,Smart Home & Appliances,Anova Culinary,https://anovaculinary.com
anycubic,3D Printers & Additive Manufacturing,Anycubic,https://www.anycubic.com
aoc,Monitors,AOC,https://www.aoc.com
apex,Fitness & Gym,Apex,https://apexride.com
apostrophe-puzzles,Puzzles,Apostrophe Puzzles,https://www.apostrophepuzzles.com
applied-industrial-technologies,MRO Supplies,Applied Industrial Technologies,https://www.applied.com
appointed,Stationery & Paper,Appointed,https://appointed.co
arbelos-films,Movies & TV,Arbelos Films,https://arbelosfilms.com
arcade1up,Arcade Maker,Arcade1Up,https://www.arcade1up.com
arctic,Cooling/PC Parts,Arctic,https://www.arctic.de
arctic-spas,Pools/hot tubs/swim spas,Arctic Spas,https://www.arcticspas.com
areaware,Puzzles,Areaware,https://www.areaware.com
arena,Fitness & Gym,Arena,https://arena.fit
armada-skis,Winter Sports,Armada Skis,https://www.armadaskis.com
arrae,OTC/Wellness,Arrae,https://arrae.com
arrow-films,Movies & TV,Arrow Films,https://www.arrowfilms.com
art-and-fable-puzzle-company,Puzzles,Art & Fable Puzzle Company,https://www.artandfablepuzzles.com
article,Outdoor furniture,Article,https://www.article.com
artifact-uprising,Stationery & Paper,Artifact Uprising,https://www.artifactuprising.com
artisul,Graphics Tablets,Artisul,https://www.artisul.com
asko,Washers/Dryers,Asko,https://www.asko.com/us
asmodee,Board Games,Asmodee,https://www.asmodee.com
asus,Laptops,Asus,https://www.asus.com
atdec,Monitor Arms & Stands,Atdec,https://atdec.com
athletic-greens-ag1,Wellness,Athletic Greens (AG1),https://drinkag1.com
attic-books,Independent Bookstore,Attic Books,https://www.atticbooks.ca
attn-grace,Elderly Care,Attn: Grace,https://attngrace.com
audiobooks-com,Audiobook DTC,Audiobooks.com,https://www.audiobooks.com
aukey,Cell Phones & Accessories,Aukey,https://www.aukey.com
aura-hair-care,Haircare,AURA Hair Care,https://www.aurahaircare.com
aurora,Plush,Aurora,https://auroragift.com
aurora-corp,Shredders & Calculators,Aurora Corp,https://www.auroracorp.com
authentic-provence,Garden decor,Authentic Provence,https://www.authenticprovence.com
automationdirect,Industrial Automation & PLC,AutomationDirect,https://www.automationdirect.com
autonomous,Gaming Desks,Autonomous,https://www.autonomous.ai
autonomous-ai,Desks,Autonomous.ai,https://www.autonomous.ai
autonomous-ai-chairs,Office Chairs,Autonomous.ai (Chairs),https://www.autonomous.ai/office-chairs
avanti,Dishwashers,Avanti,https://www.avantiproducts.com
avermedia,Webcams,AverMedia,https://www.avermedia.com
avery,Labels & Markers & Highlighters,Avery,https://www.avery.com
ayuna,Skincare,Ayuna,https://ayuna.co
b-yoga,Yoga,B Yoga,https://byoganow.com
b-and-k-precision,Measurement & Test Instruments,B&K Precision,https://www.bkprecision.com
b4adventure,Outdoor,B4Adventure,https://b4adventure.com
baby-brezza,Gear/Playmats,Baby Brezza,https://babybrezza.com
baby-einstein,Baby/Infant,Baby Einstein,https://www.babyeinstein.com
bach-brass,Wind Instruments,Bach Brass,https://www.bachbrass.com
back-to-the-roots,Urban gardening,Back to the Roots,https://backtotheroots.com
baden-sports,Team Sports,Baden Sports,https://badensports.com
baker-creek-heirloom-seeds,Seeds/plants nurseries,Baker Creek Heirloom Seeds,https://www.rareseeds.com
bala,Fitness & Gym,Bala,https://shopbala.com
balmuda,Smart Home & Appliances,Balmuda,https://us.balmuda.com
balmuda-microwav-2,Microwaves/Toaster Ovens,Balmuda,https://us.balmuda.com
balolo,Cell Phones & Accessories,Balolo,https://www.balolo.de
bambo-nature,Baby Care,Bambo Nature,https://bambonatureusa.com
bambu-lab,3D Printers & Additive Manufacturing,Bambu Lab,https://www.bambulab.com
bananagrams,Card Games,Bananagrams,https://bananagrams.com
bandai-namco-store,AAA Publisher Store,Bandai Namco Store,https://store.bandainamcoent.com
bannor-toys,Baby Toys,Bannor Toys,https://bannortoys.com
banquet-records,Independent Record Store - UK/EU,Banquet Records,https://www.banquetrecords.com
barebones-living,Garden tools,Barebones Living,https://barebonesliving.com
barefaced,Skincare,Barefaced,https://www.barefaced.com
barefoot-books,Children's Bookstore,Barefoot Books,https://www.barefootbooks.com
barefoot-sound,Studio Monitors,Barefoot Sound,https://www.barefootsound.com
barlow-tyrie,Patio dining,Barlow Tyrie,https://www.teak.com
baronfig,Notebooks & Journals,Baronfig,https://baronfig.com
baseus,Cell Phones & Accessories,Baseus,https://www.baseus.com
baseus-docking--2,Docking stations/hubs,Baseus,https://www.baseus.com
battle-beaver-customs,Controllers,Battle Beaver Customs,https://battlebeavercustoms.com
bauman-rare-books,Used/Rare Bookseller,Bauman Rare Books,https://www.baumanrarebooks.com
bdi-usa,Office Storage & Filing,BDI USA,https://www.bdiusa.com
be-quiet,Cooling/PC Parts,Be Quiet!,https://www.bequiet.com
beached,Haircare,Beached,https://beached.shop
beacon-hill-books,Independent Bookstore,Beacon Hill Books,https://www.beaconhillbooks.com
beard-and-blade,Men's Grooming,Beard & Blade,https://www.beardandblade.com.au
beardbrand,Haircare,Beardbrand,https://www.beardbrand.com
